iter	Passed	Remaining
455	849	1013
456	851	1011
457	852	1009
458	854	1006
459	856	1004
460	857	1002
461	858	1000
462	860	997
463	861	995
464	863	993
465	864	991
466	866	988
467	868	987
468	869	984
469	871	982
470	872	980
471	874	978
472	875	975
473	877	973
474	878	971
475	880	969
476	882	967
477	883	964
478	885	963
479	887	961
480	888	959
481	890	956
482	891	954
483	893	952
484	894	950
485	896	947
486	897	945
487	898	943
488	900	941
489	902	939
490	903	936
491	905	934
492	906	932
493	907	930
494	909	928
495	911	925
496	912	923
497	914	921
498	915	919
499	917	917
500	918	915
501	920	913
502	922	911
503	923	908
504	925	906
505	926	904
506	927	902
507	929	900
508	930	897
509	932	895
510	933	893
511	935	891
512	936	889
513	938	887
514	939	884
515	940	882
516	942	880
517	944	878
518	946	876
519	947	874
520	948	872
521	950	870
522	953	869
523	954	867
524	956	865
525	957	863
526	959	860
527	960	858
528	962	856
529	963	854
530	965	852
531	966	850
532	967	848
533	969	846
534	971	844
535	972	841
536	974	839
537	976	838
538	977	836
539	979	834
540	980	832
541	982	830
542	984	828
543	985	826
544	987	824
545	988	822
546	990	820
547	992	818
548	993	816
549	995	814
550	996	812
551	998	810
552	1000	808
553	1001	806
554	1004	805
555	1005	803
556	1007	801
557	1008	799
558	1010	797
559	1011	794
560	1013	793
561	1014	790
562	1016	788
563	1017	786
564	1019	785
565	1021	783
566	1022	780
567	1024	779
568	1026	777
569	1027	775
570	1029	773
571	1030	771
572	1032	769
573	1034	767
574	1035	765
575	1037	763
576	1038	761
577	1040	759
578	1042	757
579	1044	756
580	1045	754
581	1047	752
582	1049	750
583	1050	748
584	1052	746
585	1053	744
586	1055	742
587	1057	740
588	1058	738
589	1060	736
590	1061	734
591	1063	732
592	1064	730
593	1066	728
594	1068	727
595	1069	725
596	1071	723
597	1073	721
598	1074	719
599	1076	717
600	1077	715
601	1079	713
602	1080	711
603	1081	709
604	1083	707
605	1084	705
606	1086	703
607	1087	701
608	1088	699
609	1090	697
610	1092	695
611	1093	693
612	1095	691
613	1096	689
614	1098	687
615	1099	685
616	1100	683
617	1102	681
618	1103	679
619	1105	677
620	1106	675
621	1108	673
622	1109	671
623	1111	669
624	1112	667
625	1114	665
626	1116	663
627	1117	662
628	1119	660
629	1120	658
630	1122	656
631	1124	654
632	1125	652
633	1127	650
634	1128	648
635	1130	646
636	1132	645
637	1133	643
638	1134	641
639	1136	639
640	1137	637
641	1139	635
642	1140	633
643	1142	631
644	1143	629
645	1145	627
646	1146	625
647	1148	623
648	1149	621
649	1150	619
650	1152	617
651	1153	615
652	1155	614
653	1157	612
654	1158	610
655	1160	608
656	1161	606
657	1163	604
658	1165	602
659	1166	601
660	1168	599
661	1169	597
662	1171	595
663	1172	593
664	1174	591
665	1176	589
666	1177	587
667	1179	585
668	1180	584
669	1182	582
670	1183	580
671	1185	578
672	1187	576
673	1188	574
674	1190	573
675	1191	571
676	1193	569
677	1194	567
678	1196	565
679	1197	563
680	1199	561
681	1201	560
682	1202	558
683	1204	556
684	1205	554
685	1207	552
686	1208	550
687	1210	548
688	1211	546
689	1212	544
690	1214	543
691	1216	541
692	1217	539
693	1219	537
694	1220	535
695	1222	534
696	1224	532
697	1226	530
698	1227	528
699	1229	526
700	1230	525
701	1232	523
702	1233	521
703	1235	519
704	1237	517
705	1238	515
706	1239	513
707	1241	511
708	1242	510
709	1244	508
710	1245	506
711	1247	504
712	1248	502
713	1249	500
714	1251	498
715	1252	496
716	1254	495
717	1255	493
718	1257	491
719	1258	489
720	1259	487
721	1261	485
722	1263	484
723	1264	482
724	1266	480
725	1267	478
726	1269	476
727	1270	474
728	1272	472
729	1273	471
730	1274	469
731	1276	467
732	1277	465
733	1279	463
734	1280	461
735	1282	459
736	1283	458
737	1285	456
738	1286	454
739	1288	452
740	1289	450
741	1291	448
742	1292	447
743	1293	445
744	1295	443
745	1296	441
746	1298	439
747	1299	437
748	1301	436
749	1302	434
750	1304	432
751	1305	430
752	1307	428
753	1308	426
754	1309	425
755	1311	423
756	1312	421
757	1313	419
758	1315	417
759	1316	415
760	1317	413
761	1319	412
762	1320	410
763	1322	408
764	1323	406
765	1325	404
766	1327	403
767	1328	401
768	1329	399
769	1331	397
770	1332	395
771	1334	394
772	1335	392
773	1336	390
774	1338	388
775	1340	386
776	1341	385
777	1343	383
778	1344	381
779	1346	379
780	1348	377
781	1349	376
782	1350	374
783	1352	372
784	1353	370
785	1355	368
786	1356	367
787	1357	365
788	1359	363
789	1360	361
790	1362	360
791	1363	358
792	1365	356
793	1366	354
794	1367	352
795	1369	350
796	1370	349
797	1372	347
798	1373	345
799	1375	343
800	1376	342
801	1378	340
802	1380	338
803	1381	336
804	1382	335
805	1384	333
806	1385	331
807	1387	329
808	1388	327
809	1390	326
810	1391	324
811	1392	322
812	1394	320
813	1395	318
814	1396	317
815	1398	315
816	1399	313
817	1401	311
818	1402	310
819	1404	308
820	1405	306
821	1407	304
822	1408	302
823	1409	301
824	1411	299
825	1412	297
826	1414	295
827	1415	294
828	1417	292
829	1418	290
830	1420	288
831	1421	287
832	1422	285
833	1424	283
834	1425	281
835	1427	279
836	1428	278
837	1429	276
838	1431	274
839	1432	272
840	1434	271
841	1435	269
842	1436	267
843	1438	265
844	1439	264
845	1441	262
846	1442	260
847	1444	258
848	1445	257
849	1447	255
850	1448	253
851	1450	251
852	1451	250
853	1453	248
854	1454	246
855	1456	244
856	1457	243
857	1459	241
858	1460	239
859	1462	238
860	1463	236
861	1464	234
862	1466	232
863	1467	231
864	1468	229
865	1470	227
866	1471	225
867	1473	224
868	1474	222
869	1475	220
870	1477	218
871	1478	217
872	1479	215
873	1481	213
874	1482	211
875	1483	210
876	1485	208
877	1487	206
878	1488	204
879	1489	203
880	1491	201
881	1492	199
882	1493	197
883	1495	196
884	1496	194
885	1498	192
886	1499	191
887	1500	189
888	1502	187
889	1503	185
890	1505	184
891	1507	182
892	1508	180
893	1509	179
894	1511	177
895	1512	175
896	1513	173
897	1515	172
898	1516	170
899	1518	168
900	1519	166
901	1521	165
902	1522	163
903	1524	161
904	1525	160
905	1527	158
906	1528	156
907	1530	155
908	1531	153
909	1532	151
910	1534	149
911	1536	148
912	1537	146
913	1539	144
914	1541	143
915	1542	141
916	1544	139
917	1545	138
918	1547	136
919	1548	134
920	1550	132
921	1551	131
922	1553	129
923	1555	127
924	1557	126
925	1559	124
926	1560	122
927	1562	121
928	1563	119
929	1565	117
930	1567	116
931	1569	114
932	1571	112
933	1572	111
934	1573	109
935	1575	107
936	1576	106
937	1578	104
938	1579	102
939	1581	100
940	1582	99
941	1584	97
942	1585	95
943	1587	94
944	1588	92
945	1589	90
946	1591	89
947	1592	87
948	1593	85
949	1595	83
950	1596	82
951	1598	80
952	1599	78
953	1600	77
954	1602	75
955	1603	73
956	1604	72
957	1606	70
958	1607	68
959	1609	67
960	1610	65
961	1612	63
962	1613	62
963	1615	60
964	1616	58
965	1618	56
966	1619	55
967	1621	53
968	1622	51
969	1623	50
970	1625	48
971	1626	46
972	1628	45
973	1629	43
974	1631	41
975	1632	40
976	1633	38
977	1635	36
978	1636	35
979	1638	33
980	1639	31
981	1640	30
982	1642	28
983	1644	26
984	1645	25
985	1646	23
986	1648	21
987	1649	20
988	1650	18
989	1652	16
990	1653	15
991	1655	13
992	1656	11
993	1658	10
994	1660	8
995	1661	6
996	1662	5
997	1664	3
998	1665	1
999	1667	0
