iter	Logloss
0	0.6796447609
1	0.6663545003
2	0.6407964625
3	0.6173659049
4	0.6048368481
5	0.592147104
6	0.572402014
7	0.5503054795
8	0.5340528443
9	0.5245790888
10	0.5106921445
11	0.4868081622
12	0.475928067
13	0.4694547246
14	0.4553221933
15	0.4475919895
16	0.4384118392
17	0.4323270536
18	0.4236660998
19	0.405267833
20	0.3937350811
21	0.388271603
22	0.3760536881
23	0.3638179833
24	0.3554323025
25	0.3462114379
26	0.3323559151
27	0.3194785819
28	0.3113159614
29	0.3034586251
30	0.2952168541
31	0.2865288359
32	0.276018206
33	0.2696424548
34	0.2594371091
35	0.2534435146
36	0.2454752267
37	0.2381397085
38	0.2295288158
39	0.2205072014
40	0.2167263483
41	0.2126617793
42	0.2054177958
43	0.1978442115
44	0.1923930272
45	0.1870895675
46	0.1827170928
47	0.1784147109
48	0.1743332198
49	0.1711401555
50	0.1651509
51	0.1636432087
52	0.1585559935
53	0.1555321499
54	0.1507402755
55	0.1463538527
56	0.141504134
57	0.1389907096
58	0.1354311722
59	0.1307544799
60	0.1267169392
61	0.1240934761
62	0.1195761423
63	0.1161405102
64	0.1137232396
65	0.1124845568
66	0.1088660091
67	0.1065871071
68	0.1045646848
69	0.1012833401
70	0.0984164595
71	0.09558864792
72	0.0936318167
73	0.09046579876
74	0.08922179163
75	0.08635565229
76	0.08437942216
77	0.08238382927
78	0.0804205438
79	0.07953996342
80	0.0771475697
81	0.07649191183
82	0.07527055786
83	0.07326278415
84	0.07149472169
85	0.06981413511
86	0.06789524295
87	0.06634049167
88	0.06450792286
89	0.06364581483
90	0.06308580914
91	0.06179146518
92	0.06076843931
93	0.06002496656
94	0.05853893407
95	0.05781407831
96	0.05680037223
97	0.05553607579
98	0.05451315387
99	0.0537840676
100	0.05312523684
101	0.05207309452
102	0.05179896061
103	0.05128764654
104	0.04988617016
105	0.04948086309
106	0.04899125303
107	0.04822711583
108	0.04757821503
109	0.04693772556
110	0.04644451322
111	0.04620033192
112	0.0448054047
113	0.04430658783
114	0.04387731236
115	0.0430464722
116	0.04273146137
117	0.04226994627
118	0.0417020174
119	0.04114861059
120	0.04068864578
121	0.0403325682
122	0.03980299421
123	0.03903487508
124	0.03882871872
125	0.03844688741
126	0.03793497673
127	0.03768930616
128	0.0376401151
129	0.03750623007
130	0.03704571159
131	0.03680471447
132	0.03589844365
133	0.03578354849
134	0.03537199283
135	0.03460043189
136	0.03396025653
137	0.03314053956
138	0.03296983412
139	0.03279613884
140	0.0324356522
141	0.03211016904
142	0.03178250959
143	0.03140478451
144	0.03088881506
145	0.03068924176
146	0.03039520047
147	0.02990154067
148	0.02954054105
149	0.02936004801
150	0.02910832319
151	0.02877823888
152	0.02860952215
153	0.02845328227
154	0.0282794401
155	0.02816493138
156	0.02807762273
157	0.02793984391
158	0.02780317243
159	0.02746346777
160	0.02743822703
161	0.02735557375
162	0.02715891119
163	0.02699440689
164	0.02682932632
165	0.02657774161
166	0.02634861797
167	0.02620904028
168	0.02578834787
169	0.02569763355
170	0.02540807136
171	0.02527334114
172	0.02512721202
173	0.02479244521
174	0.02472783943
175	0.02463377822
176	0.02460037024
177	0.0240699985
178	0.02345431359
179	0.02328300024
180	0.02294957581
181	0.02276469633
182	0.02270520468
183	0.02242032499
184	0.02229366483
185	0.02221344772
186	0.02217066119
187	0.02186941084
188	0.02182637572
189	0.02143366303
190	0.02130535316
191	0.02120394955
192	0.02110182279
193	0.02083956009
194	0.02069125469
195	0.0206426625
196	0.02053797302
197	0.02048878647
198	0.02045794573
199	0.02037894895
200	0.0202807431
201	0.02005808048
202	0.020003538
203	0.01970353059
204	0.0196556028
205	0.01956212464
206	0.01949748722
207	0.01945486114
208	0.01926382345
209	0.01901778452
210	0.01892966117
211	0.01873524833
212	0.01844244772
213	0.01817724716
214	0.01815814091
215	0.01801523439
216	0.01797671793
217	0.01779717857
218	0.01764772402
219	0.01760097138
220	0.01757652048
221	0.0174959124
222	0.01729785436
223	0.01711711838
224	0.01706164708
225	0.01668459318
226	0.01650100184
227	0.01646464696
228	0.01636509421
229	0.01626253241
230	0.01618880005
231	0.01612067449
232	0.01605730599
233	0.01595053515
234	0.01583319705
235	0.01571690641
236	0.01559582254
237	0.01554262921
238	0.01550156471
239	0.01539659952
240	0.01517940585
241	0.01492081547
242	0.01490543013
243	0.01483710117
244	0.01471396758
245	0.01445546873
246	0.01434814421
247	0.01428406272
248	0.01423358691
249	0.01420199024
250	0.01415859466
251	0.01414661046
252	0.01408247699
253	0.01402328591
254	0.0139839265
255	0.01392098513
256	0.01390024497
257	0.01375834863
258	0.01370580049
259	0.01368165807
260	0.01355480244
261	0.0135195696
262	0.01334879184
263	0.01331877482
264	0.01328785838
265	0.01306038671
266	0.01288671629
267	0.01274528662
268	0.01271884701
269	0.01257812016
270	0.01251061494
271	0.01240372771
272	0.01229574443
273	0.01222494541
274	0.01217479841
275	0.01196292678
276	0.01195707253
277	0.01191608149
278	0.01176330264
